entity_id,total_rows,sign_change_count,sign_change_ratio
AP_PA,34,19,0.5588235294117647
DJ_CZ,48,28,0.5833333333333334
EF_GR,26,5,0.19230769230769232
FO_NO,23,7,0.30434782608695654
FP_BD,10,7,0.7
FP_HK,64,40,0.625
FP_KH,20,20,1.0
FP_LA,19,8,0.42105263157894735
FP_MM,14,7,0.5
FP_MY,103,73,0.7087378640776699
FP_PH,122,59,0.48360655737704916
FP_PK,16,7,0.4375
FP_SG,37,23,0.6216216216216216
FP_SK,3,3,1.0
FP_TH,29,18,0.6206896551724138
FP_TW,114,63,0.5526315789473685
FY_CY,7,6,0.8571428571428571
HF_EG,28,8,0.2857142857142857
HN_DK,9,9,1.0
HS_SA,118,62,0.5254237288135594
MJM_AT,30,9,0.3
NP_HU,30,18,0.6
OP_SE,81,59,0.7283950617283951
PO_FI,30,6,0.2
PY_AR,41,21,0.5121951219512195
PY_BO,23,16,0.6956521739130435
PY_CL,26,12,0.46153846153846156
PY_CR,34,17,0.5
PY_DO,31,14,0.45161290322580644
PY_EC,27,15,0.5555555555555556
PY_GT,29,20,0.6896551724137931
PY_HN,14,7,0.5
PY_NI,21,12,0.5714285714285714
PY_PE,46,18,0.391304347826087
PY_PY,30,18,0.6
PY_SV,31,11,0.3548387096774194
PY_UY,16,11,0.6875
PY_VE,7,5,0.7142857142857143
TB_AE,57,24,0.42105263157894735
TB_BH,12,7,0.5833333333333334
TB_IQ,12,3,0.25
TB_JO,17,5,0.29411764705882354
TB_KW,4,4,1.0
TB_OM,19,11,0.5789473684210527
TB_QA,13,8,0.6153846153846154
YS_TR,72,29,0.4027777777777778
