Region,country_name,country_code,median_test_length_days,days_available,testing_capacity,avg_total_active_users,avg_flgp_per_user,avg_orders_per_user,CPiO - Growth at a Cost,Lose-Lose,MPOL - Profit at a Cost,Win-Win,Total_tests,percentage_growth,percentage_lose_lose,percentage_profit,percentage_win_win,flgp_per_user_incremental_CPiO - Growth at a Cost,flgp_per_user_incremental_Lose-Lose,flgp_per_user_incremental_MPOL - Profit at a Cost,flgp_per_user_incremental_Win-Win,flgpu_control_mean_CPiO - Growth at a Cost,flgpu_control_mean_Lose-Lose,flgpu_control_mean_MPOL - Profit at a Cost,flgpu_control_mean_Win-Win,flgpu_perc_change_CPiO - Growth at a Cost,flgpu_perc_change_Lose-Lose,flgpu_perc_change_MPOL - Profit at a Cost,flgpu_perc_change_Win-Win,orders_per_user_control_mean_CPiO - Growth at a Cost,orders_per_user_control_mean_Lose-Lose,orders_per_user_control_mean_MPOL - Profit at a Cost,orders_per_user_control_mean_Win-Win,orders_per_user_incremental_CPiO - Growth at a Cost,orders_per_user_incremental_Lose-Lose,orders_per_user_incremental_MPOL - Profit at a Cost,orders_per_user_incremental_Win-Win,orders_per_user_perc_change_CPiO - Growth at a Cost,orders_per_user_perc_change_Lose-Lose,orders_per_user_perc_change_MPOL - Profit at a Cost,orders_per_user_perc_change_Win-Win,orders_impact_growth,orders_impact_profit,orders_impact_win,baseline_orders,orders_impact_incremental,flgp_impact_growth,flgp_impact_profit,flgp_impact_win,baseline_flgp,flgp_impact_incremental,total_orders_2023,total_orders_2024,fully_loaded_gross_profit_eur_2023,fully_loaded_gross_profit_eur_2024,total_users_2023,total_users_2024,total_flgp,total_orders,total_users,total_flgp_target,total_orders_target,flgp_yoy_2024,orders_yoy_2024
Africa,Côte d'Ivoire,CI,69.5,330.0,4.75,71766.57142857143,4.479640418347153,2.957931529555606,1.0,1.625,3.6,3.0,9.225,0.10840108401084012,0.1761517615176152,0.3902439024390244,0.3252032520325203,0.05632587413233914,-0.09549508279542461,0.09866734208690982,0.18108222472867896,9.807899323431275,5.049129053831793,3.371147537623797,6.000022748914841,1.00574290908531,0.9782022294180939,1.059642773048641,1.0301802563600995,12.415062434723133,6.051708594789986,6.2537266849337,8.897579399673495,0.2313801262558588,-0.045477538535599896,-0.0869526509838167,0.12181857672024805,1.018637048945378,0.9922343311279491,0.982791157410654,1.0136912042307504,214308.59090063488,205558.7789185318,216786.83641539296,212280.60439667595,-187.60695546818897,322437.7720960127,357933.57578477875,336598.83396833326,321488.4340576266,52504.87967624498,1814738.0,2552800.480375789,1859863.0,3677341.038443543,644030.0,861479.4273405464,3677341.038443543,2552800.480375789,861479.4273405464,3729845.918119788,2552612.873420321,0.9772107076938157,0.4067047035857458
Africa,Kenya,KE,65.0,330.0,5.08,102346.85714285714,2.225613272819204,1.9624385691729276,1.8571428571428572,1.625,5.0,2.0,10.482142857142858,0.17717206132879046,0.15502555366269163,0.47700170357751276,0.1908006814310051,-0.06962278953790811,-0.09549508279542461,0.01694317575297431,0.16611484753341987,3.8903781350082034,5.049129053831793,1.3871864801813594,4.615877052237543,0.9491420119083437,0.9782022294180939,1.0122140577312715,1.0359877106026678,4.410406127238598,6.051708594789986,3.9079084177579566,7.1621567666049515,0.1370007491644228,-0.045477538535599896,-0.0300947258373524,0.027200236407094458,1.0347765828190825,0.9922343311279491,0.9922990196749242,1.0037977717178603,207125.23794585737,197121.93058120678,201588.71487423117,200849.4198907746,3287.62372897155,217330.92003808374,234584.89378483576,235725.6984712499,227784.52368847383,4287.941228747921,1459066.0,2393465.0456287703,989787.0,2656928.279048233,745038.0,1225784.5457410447,2656928.279048233,2393465.0456287703,1225784.5457410447,2661216.2202769807,2396752.6693577417,1.6843434789992522,0.6404090326474404
Africa,Morocco,MA,84.0,330.0,3.93,480314.4285714286,5.650663839773729,3.3884526727090503,5.0,1.625,8.0,4.0,18.625,0.2684563758389262,0.087248322147651,0.42953020134228187,0.21476510067114093,-0.022543279545524264,-0.09549508279542461,0.012368845417420596,0.006736565995651506,2.0062663077290117,5.049129053831793,1.0943190760988148,1.095243345435553,0.9887635657047732,0.9782022294180939,1.0113027778529775,1.006150748163617,2.1770983898644145,6.051708594789986,1.7777184118377845,1.4826046728473554,0.021873733486230895,-0.045477538535599896,-0.01152732074590516,0.015518154474119278,1.0100471956564137,0.9922343311279491,0.9935156655468352,1.0104668188076842,1644779.413769108,1609747.7683856909,1641889.0048755966,1627522.7092335774,13848.059329663403,2681930.257686465,2766080.6121737557,2728178.576023236,2714095.3732501534,33903.32613299647,13860724.0,18017467.013656307,16143784.0,31074287.38079898,4081740.0,5360356.62790269,31074287.38079898,18017467.013656307,5360356.62790269,31108190.70693198,18031315.07298597,0.924845338664032,0.2998936429046785
Africa,Nigeria,NG,49.0,330.0,6.73,97144.28571428571,-0.18357590662472284,3.10979224148165,1.8571428571428572,1.625,8.0,1.0,12.482142857142858,0.14878397711015737,0.1301859799713877,0.6409155937052933,0.08011444921316166,-0.06962278953790811,-0.09549508279542461,0.13114796221466937,0.010419550822581947,3.8903781350082034,5.049129053831793,0.7281676140671343,1.061929767307688,0.9491420119083437,0.9782022294180939,1.1801068321099186,1.0098119020140086,4.410406127238598,6.051708594789986,7.472361097832278,21.23859534615376,0.1370007491644228,-0.045477538535599896,-0.1885809872071624,0.20839101645163538,1.0347765828190825,0.9922343311279491,0.9747628648109806,1.0098119020140084,312618.5667187972,270561.43840700586,303693.13756904163,302098.5460185624,-19422.4953608425,-16925.219207370348,-36429.7042922541,-17927.481560112596,-17833.350323411112,-17782.354089503708,2399085.0,4603432.858614633,-140355.0,-142326.15590917022,816134.0,1456574.8045726484,-142326.15590917022,4603432.858614633,1456574.8045726484,-160108.50999867392,4584010.36325379,0.014044073308184404,0.9188285778180568
Africa,Tunisia,TN,76.0,330.0,4.34,123306.42857142857,2.0739832168264267,2.857764573879805,1.0,1.625,2.0,1.0,5.625,0.17777777777777778,0.28888888888888886,0.35555555555555557,0.17777777777777778,-0.026105051153363534,-0.09549508279542461,0.04942086092076055,0.025672041002073875,0.4717039938229901,5.049129053831793,0.0844798827333269,6.009469878533184,0.9446579814985421,0.9782022294180939,1.585001533166952,1.0042719310556458,1.310288871730528,6.051708594789986,0.843240613840363,19.385386704945756,0.0400109545410674,-0.045477538535599896,-0.06839962358845675,0.08281303549055963,1.0305359798165912,0.9922343311279491,0.9188848088365372,1.0042719310556458,360654.3048349261,309257.27081343177,353541.6358142308,352380.74330306915,-33689.01844661881,244745.06060113522,520545.85036559956,256577.96510949216,255735.46338394942,254662.48592437868,1582388.0,4015648.357904041,632936.0,4981419.44217648,624745.0,1422169.8634331082,4981419.44217648,4015648.357904041,1422169.8634331082,5236081.928100859,3981959.3394574225,6.870336719947167,1.5377141117753934
Africa,Uganda,UG,92.0,330.0,3.59,45715.28571428572,1.963632706517308,2.375474698996656,1.0,1.625,3.6,2.0,8.225,0.12158054711246201,0.19756838905775076,0.4376899696048632,0.24316109422492402,-0.06962278953790811,-0.09549508279542461,0.09866734208690982,0.12199592887910482,3.8903781350082034,5.049129053831793,3.371147537623797,4.530415206631706,0.9491420119083437,0.9782022294180939,1.059642773048641,1.026928200466157,4.410406127238598,6.051708594789986,6.2537266849337,9.974263606913778,0.1370007491644228,-0.045477538535599896,-0.0869526509838167,0.19659419248564225,1.0347765828190825,0.9922343311279491,0.982791157410654,1.0197101460552307,110228.01873393581,105673.51212389932,110461.66980883901,108595.504571689,576.686951607131,87746.00422757,98322.96423400902,91874.62707054355,89768.03021635489,8639.504883057889,453739.0,1397705.711940697,317821.0,1329424.5649097003,222443.0,578438.3692658453,1329424.5649097003,1397705.711940697,578438.3692658453,1338064.0697927582,1398282.3988923042,3.18293493793582,2.080417843607662
ECA,Armenia,AM,69.0,330.0,4.78,24719.0,3.0196839109013247,3.3348011195970946,1.0,1.625,2.0,2.7222222222222223,7.347222222222222,0.13610586011342155,0.22117202268431002,0.2722117202268431,0.3705103969754253,-0.08591984039520995,-0.09549508279542461,0.0014666399731750879,0.09946151396122811,6.154552475774272,5.049129053831793,5.672868897223628,3.6766605979016966,0.9860396282697386,0.9782022294180939,1.0002585358483946,1.042107146724706,8.919641269238076,6.051708594789986,8.015893046595112,7.017667268042245,0.13801938058141872,-0.045477538535599896,-0.21972599047584618,0.05844268140137628,1.0154736470240588,0.9922343311279491,0.9725887073095145,1.0084193344181756,83260.56838745679,79505.04329446018,83666.09161662686,82432.94887532058,-867.1433274179144,73963.95822219664,74668.67763799265,80300.06715351537,74643.56659356985,5002.003232995106,742700.0,961283.2434933844,502793.0,684220.3233070225,256018.0,292814.70080927823,684220.3233070225,961283.2434933844,292814.70080927823,689222.3265400175,960416.1001659665,0.36083899996026686,0.29430893159200816
ECA,Georgia,GE,82.0,252.0,3.07,201031.2857142857,1.3614214289260727,2.8826387906168267,1.8571428571428572,2.0,2.0,1.0,6.857142857142858,0.2708333333333333,0.29166666666666663,0.29166666666666663,0.14583333333333331,-0.06962278953790811,-0.009398050625408771,0.02030028412699103,0.06569114895880307,3.8903781350082034,4.954127795993057,6.901842511795504,0.1895202007238082,0.9491420119083437,0.9981029858307228,1.002941284750021,1.3466181900816798,4.410406127238598,11.00917287998457,14.855608285782832,3.15867001206347,0.1370007491644228,-0.020884556945352628,-0.10311283698919471,0.03147185896917071,1.0347765828190825,0.9981029858307229,0.9930589959693622,1.00996364256126,596208.5493877861,575897.6230565904,582078.5458009734,579500.5823275743,15682.971262627165,262064.4234154566,274408.9956524846,312694.36977636145,273688.30025598843,28102.888076337345,5460644.0,7109237.866097394,2353027.0,2313501.4374023727,2036349.0,2472977.3432837427,2313501.4374023727,7109237.866097394,2472977.3432837427,2341604.3254787102,7124920.837360022,-0.016797751406009063,0.3019046592485052
ECA,Kazakhstan,KZ,105.0,245.0,2.33,227438.85714285713,1.3546593988398203,2.7966596439110942,1.8571428571428572,1.0,4.0,2.0,8.857142857142858,0.20967741935483872,0.11290322580645161,0.45161290322580644,0.22580645161290322,-0.06962278953790811,-0.09549508279542461,0.017161423944427524,0.03685817683080883,3.8903781350082034,5.049129053831793,0.29134947446045834,0.4510946413083542,0.9491420119083437,0.9782022294180939,1.0589032260181979,1.0817083012201285,4.410406127238598,6.051708594789986,1.0094215032165568,1.780136299653618,0.1370007491644228,-0.045477538535599896,-0.007499418852607409,0.019438964288878258,1.0347765828190825,0.9922343311279491,0.9925705774756034,1.0109199302843612,646781.4542855648,631097.4628344997,639714.071290638,636069.073228689,9385.76872463536,300344.69944192213,327227.64814807824,321100.6064292558,308102.1854899586,24366.397549380315,6655778.0,7494618.860070159,2596503.0,2203022.6347806845,2532839.0,2747944.5322358343,2203022.6347806845,7494618.860070159,2747944.5322358343,2227389.032330065,7504004.628794794,-0.15154242657116726,0.12603197703862098
ECA,Kyrgyzstan,KG,108.0,245.0,2.27,68167.0,1.3535400336839138,2.628228859272167,1.0,1.625,3.0,2.7222222222222223,8.347222222222221,0.11980033277870217,0.19467554076539104,0.3594009983361065,0.3261231281198004,-0.06962278953790811,-0.09549508279542461,0.27348499012760286,0.09946151396122811,3.8903781350082034,5.049129053831793,5.9145253624892655,3.6766605979016966,0.9491420119083437,0.9782022294180939,1.046239549814442,1.042107146724706,4.410406127238598,6.051708594789986,6.8773550726619375,7.017667268042245,0.1370007491644228,-0.045477538535599896,-0.07734369615988435,0.05844268140137628,1.0347765828190825,0.9922343311279491,0.9887538602641978,1.0084193344181756,180831.8159470364,177512.97820050493,180273.92431024843,179158.47665000582,1143.2885077723186,90966.31024674582,95732.88690759834,95127.43977892293,92266.76347613135,5026.346504873029,1575614.0,2241609.638946172,856946.0,1118493.358965377,614026.0,855889.1210559079,1118493.358965377,2241609.638946172,855889.1210559079,1123519.7054702502,2242752.927453944,0.305208681720175,0.42268959208674955
